weighting,model,scenario,rank,region_id,region,distance
equal,MPI-ESM1-2-HR,ssp585,12,RU_KRASNODAR,Krasnodar Russia,3.564
equal,MPI-ESM1-2-HR,ssp585,13,US_MS_GREENVILLE,Greenville Mississippi,3.822
equal,MPI-ESM1-2-HR,ssp585,14,AU_HORSHAM,Horsham Australia,4.008
equal,MPI-ESM1-2-HR,ssp585,15,AU_NORTHAM,Northam Australia,4.22
equal,MPI-ESM1-2-HR,ssp585,16,RU_STAVROPOL,Stavropol Russia,4.249
equal,MPI-ESM1-2-HR,ssp585,17,ZA_BETHLEHEM,Bethlehem South Africa,4.3
equal,MPI-ESM1-2-HR,ssp585,18,US_IA_AMES,Ames Iowa,4.545
equal,MPI-ESM1-2-HR,ssp585,19,US_IL_CHAMPAIGN,Champaign Illinois,4.687
equal,MPI-ESM1-2-HR,ssp585,20,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,4.842
equal,MPI-ESM1-2-HR,ssp585,21,UA_POLTAVA,Poltava Ukraine,4.942
equal,MPI-ESM1-2-HR,ssp585,22,US_ND_FARGO,Fargo North Dakota,5.204
